id,asset_code,name,category,department,model,serial_number,purchase_date,purchase_cost,location
22,AST-1022,Logitech Mouse,Accessory,Marketing,v2.0,SN1022,2025-10-31,1900,Chennai
23,AST-1023,HP Monitor,Monitor,HR,v2.0,SN1023,2025-05-12,12900,Kolkata
24,AST-1024,Logitech Mouse,Accessory,Engineering,v2.0,SN1024,2025-09-21,2300,Pune
25,AST-1025,Logitech Mouse,Accessory,IT Support,v2.0,SN1025,2025-12-09,1500,Jaipur
26,AST-1026,HP Monitor,Monitor,Operations,v2.0,SN1026,2025-01-24,11300,Jaipur
27,AST-1027,HP Monitor,Monitor,HR,v2.0,SN1027,2025-05-05,12100,Jaipur
28,AST-1028,iPhone 14,Phone,Marketing,v2.0,SN1028,2025-03-18,74000,Lucknow
29,AST-1029,Logitech Mouse,Accessory,IT Support,v2.0,SN1029,2025-06-29,2300,Pune
30,AST-1030,Dell XPS,Laptop,IT Support,v2.0,SN1030,2026-01-19,125000,Chennai
31,AST-1031,Logitech Mouse,Accessory,Sales,v2.0,SN1031,2025-07-02,1700,Hyderabad
32,AST-1032,HP Monitor,Monitor,Operations,v2.0,SN1032,2025-11-25,12100,Mumbai
33,AST-1033,Dell XPS,Laptop,Operations,v2.0,SN1033,2025-12-10,140000,Ahmedabad
34,AST-1034,HP Monitor,Monitor,Marketing,v2.0,SN1034,2025-12-19,13700,Bangalore
35,AST-1035,Dell XPS,Laptop,IT Support,v2.0,SN1035,2025-07-24,125000,Bangalore
36,AST-1036,iPhone 14,Phone,Marketing,v2.0,SN1036,2025-03-27,70000,Jaipur
37,AST-1037,Logitech Mouse,Accessory,HR,v2.0,SN1037,2025-03-10,1900,Jaipur
38,AST-1038,Logitech Mouse,Accessory,Marketing,v2.0,SN1038,2026-01-19,2100,Bangalore
39,AST-1039,iPhone 14,Phone,Engineering,v2.0,SN1039,2025-02-21,76000,Jaipur
40,AST-1040,Dell XPS,Laptop,Operations,v2.0,SN1040,2025-03-18,125000,Lucknow
41,AST-1041,HP Monitor,Monitor,Operations,v2.0,SN1041,2025-02-05,11300,Jaipur
42,AST-1042,iPhone 14,Phone,Finance,v2.0,SN1042,2025-12-29,72000,Bangalore
43,AST-1043,Dell XPS,Laptop,HR,v2.0,SN1043,2025-01-28,140000,Hyderabad
44,AST-1044,Logitech Mouse,Accessory,Operations,v2.0,SN1044,2025-07-18,2300,Chennai
45,AST-1045,Logitech Mouse,Accessory,Finance,v2.0,SN1045,2026-01-02,1500,Chennai
46,AST-1046,Dell XPS,Laptop,Operations,v2.0,SN1046,2025-07-31,130000,Mumbai
47,AST-1047,Dell XPS,Laptop,Engineering,v2.0,SN1047,2025-06-17,135000,Bangalore
48,AST-1048,Logitech Mouse,Accessory,Marketing,v2.0,SN1048,2025-04-19,2100,Mumbai
49,AST-1049,iPhone 14,Phone,HR,v2.0,SN1049,2026-01-25,76000,Hyderabad
50,AST-1050,Logitech Mouse,Accessory,HR,v2.0,SN1050,2025-04-07,1500,Mumbai
51,AST-1051,Dell XPS,Laptop,Marketing,v2.0,SN1051,2025-06-22,130000,Kolkata
52,AST-1052,Dell XPS,Laptop,Finance,v2.0,SN1052,2025-07-22,135000,Mumbai
53,AST-1053,Dell XPS,Laptop,IT Support,v2.0,SN1053,2025-01-28,140000,Bangalore
54,AST-1054,Dell XPS,Laptop,Operations,v2.0,SN1054,2025-07-11,145000,Bangalore
55,AST-1055,iPhone 14,Phone,IT Support,v2.0,SN1055,2025-09-03,68000,Jaipur
56,AST-1056,Logitech Mouse,Accessory,HR,v2.0,SN1056,2025-02-23,1700,Kolkata
57,AST-1057,Logitech Mouse,Accessory,Sales,v2.0,SN1057,2025-05-17,1900,Bangalore
58,AST-1058,Dell XPS,Laptop,HR,v2.0,SN1058,2025-03-17,140000,Kolkata
59,AST-1059,HP Monitor,Monitor,HR,v2.0,SN1059,2025-02-18,13700,Kolkata
60,AST-1060,iPhone 14,Phone,Engineering,v2.0,SN1060,2025-11-01,68000,Ahmedabad
61,AST-1061,HP Monitor,Monitor,Engineering,v2.0,SN1061,2025-07-24,11300,Hyderabad
62,AST-1062,HP Monitor,Monitor,Finance,v2.0,SN1062,2025-04-29,12100,Mumbai
63,AST-1063,Dell XPS,Laptop,Engineering,v2.0,SN1063,2025-06-10,140000,Kolkata
64,AST-1064,iPhone 14,Phone,Operations,v2.0,SN1064,2026-02-05,76000,Ahmedabad
65,AST-1065,iPhone 14,Phone,Operations,v2.0,SN1065,2025-05-02,68000,Mumbai
66,AST-1066,HP Monitor,Monitor,IT Support,v2.0,SN1066,2025-11-24,11300,Jaipur
67,AST-1067,HP Monitor,Monitor,Sales,v2.0,SN1067,2025-09-20,12100,Jaipur
68,AST-1068,iPhone 14,Phone,Marketing,v2.0,SN1068,2026-01-01,74000,Jaipur
69,AST-1069,Dell XPS,Laptop,Finance,v2.0,SN1069,2026-01-20,145000,Hyderabad
70,AST-1070,Logitech Mouse,Accessory,Sales,v2.0,SN1070,2025-12-01,1500,Hyderabad
71,AST-1071,HP Monitor,Monitor,HR,v2.0,SN1071,2025-03-21,11300,Bangalore
72,AST-1072,HP Monitor,Monitor,IT Support,v2.0,SN1072,2025-06-03,12100,Delhi
73,AST-1073,Logitech Mouse,Accessory,Sales,v2.0,SN1073,2025-04-10,2100,Jaipur
74,AST-1074,HP Monitor,Monitor,HR,v2.0,SN1074,2025-01-13,13700,Chennai
75,AST-1075,Logitech Mouse,Accessory,HR,v2.0,SN1075,2025-06-15,1500,Lucknow
76,AST-1076,iPhone 14,Phone,HR,v2.0,SN1076,2025-01-21,70000,Jaipur
77,AST-1077,Logitech Mouse,Accessory,Operations,v2.0,SN1077,2025-08-05,1900,Lucknow
78,AST-1078,Dell XPS,Laptop,IT Support,v2.0,SN1078,2025-10-01,140000,Lucknow
79,AST-1079,Logitech Mouse,Accessory,Sales,v2.0,SN1079,2025-09-01,2300,Ahmedabad
80,AST-1080,HP Monitor,Monitor,Engineering,v2.0,SN1080,2025-07-28,10500,Kolkata
81,AST-1081,Dell XPS,Laptop,Operations,v2.0,SN1081,2025-08-09,130000,Hyderabad
82,AST-1082,Dell XPS,Laptop,IT Support,v2.0,SN1082,2025-12-02,135000,Jaipur
83,AST-1083,Dell XPS,Laptop,Engineering,v2.0,SN1083,2026-01-27,140000,Mumbai
84,AST-1084,iPhone 14,Phone,Finance,v2.0,SN1084,2025-05-26,76000,Delhi
85,AST-1085,HP Monitor,Monitor,Operations,v2.0,SN1085,2025-02-02,10500,Kolkata
86,AST-1086,HP Monitor,Monitor,Engineering,v2.0,SN1086,2025-01-14,11300,Mumbai
87,AST-1087,Dell XPS,Laptop,Engineering,v2.0,SN1087,2025-01-16,135000,Delhi
88,AST-1088,iPhone 14,Phone,Marketing,v2.0,SN1088,2025-06-17,74000,Ahmedabad
89,AST-1089,iPhone 14,Phone,Operations,v2.0,SN1089,2025-09-13,76000,Pune
90,AST-1090,iPhone 14,Phone,IT Support,v2.0,SN1090,2025-10-27,68000,Jaipur
91,AST-1091,HP Monitor,Monitor,Operations,v2.0,SN1091,2025-03-22,11300,Chennai
92,AST-1092,Dell XPS,Laptop,HR,v2.0,SN1092,2025-03-12,135000,Mumbai
93,AST-1093,HP Monitor,Monitor,Engineering,v2.0,SN1093,2025-02-01,12900,Pune
94,AST-1094,Dell XPS,Laptop,IT Support,v2.0,SN1094,2025-03-28,145000,Hyderabad
95,AST-1095,HP Monitor,Monitor,Finance,v2.0,SN1095,2025-03-11,10500,Ahmedabad
96,AST-1096,HP Monitor,Monitor,HR,v2.0,SN1096,2026-02-05,11300,Pune
97,AST-1097,iPhone 14,Phone,HR,v2.0,SN1097,2025-12-25,72000,Kolkata
98,AST-1098,Logitech Mouse,Accessory,IT Support,v2.0,SN1098,2025-03-23,2100,Kolkata
99,AST-1099,HP Monitor,Monitor,IT Support,v2.0,SN1099,2025-09-09,13700,Jaipur
100,AST-1100,Dell XPS,Laptop,Engineering,v2.0,SN1100,2025-02-17,125000,Lucknow
101,AST-1101,Dell XPS,Laptop,IT Support,v2.0,SN1101,2025-08-25,130000,Ahmedabad
102,AST-1102,HP Monitor,Monitor,HR,v2.0,SN1102,2025-03-02,12100,Mumbai
103,AST-1103,HP Monitor,Monitor,Finance,v2.0,SN1103,2025-03-22,12900,Chennai
104,AST-1104,Dell XPS,Laptop,Operations,v2.0,SN1104,2025-08-20,145000,Hyderabad
105,AST-1105,HP Monitor,Monitor,IT Support,v2.0,SN1105,2025-09-15,10500,Pune
106,AST-1106,Logitech Mouse,Accessory,Sales,v2.0,SN1106,2025-01-08,1700,Bangalore
107,AST-1107,iPhone 14,Phone,Operations,v2.0,SN1107,2025-10-24,72000,Hyderabad
108,AST-1108,Dell XPS,Laptop,Engineering,v2.0,SN1108,2025-09-01,140000,Bangalore
109,AST-1109,iPhone 14,Phone,Marketing,v2.0,SN1109,2025-03-20,76000,Kolkata
110,AST-1110,iPhone 14,Phone,Finance,v2.0,SN1110,2025-10-30,68000,Kolkata
111,AST-1111,Logitech Mouse,Accessory,Operations,v2.0,SN1111,2025-04-03,1700,Mumbai
112,AST-1112,iPhone 14,Phone,Sales,v2.0,SN1112,2025-10-17,72000,Ahmedabad
113,AST-1113,Logitech Mouse,Accessory,IT Support,v2.0,SN1113,2025-07-19,2100,Ahmedabad
114,AST-1114,Logitech Mouse,Accessory,HR,v2.0,SN1114,2026-01-02,2300,Kolkata
115,AST-1115,Logitech Mouse,Accessory,Engineering,v2.0,SN1115,2026-01-29,1500,Jaipur
116,AST-1116,HP Monitor,Monitor,HR,v2.0,SN1116,2025-02-09,11300,Mumbai
117,AST-1117,Dell XPS,Laptop,Marketing,v2.0,SN1117,2025-11-16,135000,Mumbai
118,AST-1118,HP Monitor,Monitor,Engineering,v2.0,SN1118,2025-02-01,12900,Pune
119,AST-1119,Dell XPS,Laptop,IT Support,v2.0,SN1119,2025-06-03,145000,Hyderabad
120,AST-1120,Logitech Mouse,Accessory,Marketing,v2.0,SN1120,2025-10-13,1500,Bangalore
121,AST-1121,Logitech Mouse,Accessory,Sales,v2.0,SN1121,2025-03-28,1700,Mumbai
122,AST-1122,Logitech Mouse,Accessory,Operations,v2.0,SN1122,2025-04-21,1900,Chennai
123,AST-1123,HP Monitor,Monitor,Engineering,v2.0,SN1123,2025-06-12,12900,Pune
124,AST-1124,HP Monitor,Monitor,HR,v2.0,SN1124,2025-02-03,13700,Chennai
125,AST-1125,iPhone 14,Phone,HR,v2.0,SN1125,2025-01-02,68000,Jaipur
126,AST-1126,HP Monitor,Monitor,Finance,v2.0,SN1126,2025-02-21,11300,Delhi
127,AST-1127,Logitech Mouse,Accessory,Marketing,v2.0,SN1127,2025-06-08,1900,Lucknow
128,AST-1128,Dell XPS,Laptop,Operations,v2.0,SN1128,2025-04-13,140000,Kolkata
129,AST-1129,Logitech Mouse,Accessory,Marketing,v2.0,SN1129,2026-01-31,2300,Lucknow
130,AST-1130,HP Monitor,Monitor,HR,v2.0,SN1130,2025-03-08,10500,Bangalore
131,AST-1131,HP Monitor,Monitor,Engineering,v2.0,SN1131,2025-01-02,11300,Ahmedabad
132,AST-1132,Logitech Mouse,Accessory,Engineering,v2.0,SN1132,2025-01-04,1900,Mumbai
133,AST-1133,Dell XPS,Laptop,Marketing,v2.0,SN1133,2025-02-09,140000,Jaipur
134,AST-1134,iPhone 14,Phone,HR,v2.0,SN1134,2025-09-27,76000,Lucknow
135,AST-1135,Logitech Mouse,Accessory,Engineering,v2.0,SN1135,2025-07-12,1500,Jaipur
136,AST-1136,iPhone 14,Phone,IT Support,v2.0,SN1136,2025-12-05,70000,Bangalore
137,AST-1137,Logitech Mouse,Accessory,Operations,v2.0,SN1137,2025-04-24,1900,Jaipur
138,AST-1138,Dell XPS,Laptop,Operations,v2.0,SN1138,2025-10-07,140000,Pune
139,AST-1139,Logitech Mouse,Accessory,IT Support,v2.0,SN1139,2025-10-03,2300,Hyderabad
140,AST-1140,HP Monitor,Monitor,Finance,v2.0,SN1140,2025-05-14,10500,Mumbai
141,AST-1141,Logitech Mouse,Accessory,IT Support,v2.0,SN1141,2025-05-21,1700,Ahmedabad
142,AST-1142,Dell XPS,Laptop,HR,v2.0,SN1142,2025-08-28,135000,Hyderabad
143,AST-1143,HP Monitor,Monitor,Operations,v2.0,SN1143,2025-02-16,12900,Hyderabad
144,AST-1144,HP Monitor,Monitor,Finance,v2.0,SN1144,2025-12-23,13700,Hyderabad
145,AST-1145,Logitech Mouse,Accessory,Engineering,v2.0,SN1145,2025-01-31,1500,Chennai
146,AST-1146,HP Monitor,Monitor,Marketing,v2.0,SN1146,2025-09-23,11300,Hyderabad
147,AST-1147,iPhone 14,Phone,Marketing,v2.0,SN1147,2025-04-20,72000,Lucknow
148,AST-1148,HP Monitor,Monitor,HR,v2.0,SN1148,2025-01-10,12900,Pune
149,AST-1149,Dell XPS,Laptop,HR,v2.0,SN1149,2025-10-17,145000,Kolkata
150,AST-1150,iPhone 14,Phone,Finance,v2.0,SN1150,2026-01-08,68000,Kolkata
